title,authors__001,authors__002,authors__003,publish_date,keywords__001,keywords__002,keywords__003,keywords__004,keywords__005,keywords__006,keywords__007,keywords__008,keywords__009,keywords__010,keywords__011,keywords__012,keywords__013,keywords__014,keywords__015,keywords__016,keywords__017,keywords__018,keywords__019,keywords__020
"Slow start for autos, many unsure of business with just 1 passenger allowed",Abhinav Rajput,,,2020-05-28 05:32:14+05:30,slow,start,delhi,allowed,driver,business,rs,indian,passenger,sah,lives,auto,autos,rent,sheet,unsure,,,,
"Rs 3-16 lakh: in Covid bills, drug cost, PPE are main unknowns",Kaunain Sheriff M,,,2020-05-28 07:12:38+05:30,bills,cost,rs,main,ppe,test,drug,316,patients,lakh,day,unknowns,icu,ranges,range,covid,,,,
Among Gurgaon RWA rules: ‘Domestic helps shouldn’t touch lift,Sakshi Dayal,,,2020-05-28 05:44:02+05:30,gardeners,rules,gurgaon,test,cbc,work,lift,residents,touch,workers,helps,shouldnt,domestic,drivers,rwa,,,,,
"An anguished lullaby, fights for seats, water: 24 hours on a Shramik Special",P Anand,Written P Anand,Hyderabad,2020-05-28 13:30:26+05:30,fights,anguished,train,dead,bus,lullaby,hours,water,seats,way,seat,24,udhna,station,special,shramik,thought,gandhinagar,,
"As buses start plying, migrants try to leave again, stopped again",Sourav Roy Barman,,,2020-05-28 05:08:31+05:30,migrants,start,delhi,bus,stopped,plying,department,try,vihar,lakh,buses,leave,transport,work,trains,,,,,
"In a first, J&K quarantines horse who arrived from Red zone",,,,2020-05-27 21:03:18+05:30,vets,youth,jk,animal,test,rider,come,horse,zone,red,rajouri,quarantines,arrived,,,,,,,
"In a first, J&K quarantines horse who arrived from Red zone",,,,2020-05-27 21:03:18+05:30,vets,youth,jk,animal,test,rider,come,horse,zone,red,rajouri,quarantines,arrived,,,,,,,
"How Railways, Metro services plan to gather steam post-lockdown 4.0",,,,2020-05-27 20:09:44+05:30,steam,train,metro,services,postlockdown,40,stations,express,gather,station,workers,plan,special,railways,trains,,,,,
"How Railways, Metro services plan to gather steam post-lockdown 4.0",,,,2020-05-27 20:09:44+05:30,steam,train,metro,services,postlockdown,40,stations,express,gather,station,workers,plan,special,railways,trains,,,,,
"US ready, willing to mediate: Trump on ‘raging’ India-China border dispute",,,,2020-05-27 20:06:54+05:30,ladakh,indiachina,dispute,mediate,indian,china,border,trump,raging,united,ready,chinese,india,willing,,,,,,
"US ready, willing to mediate: Trump on ‘raging’ India-China border dispute",,,,2020-05-27 20:06:54+05:30,ladakh,indiachina,dispute,mediate,indian,china,border,trump,raging,united,ready,chinese,india,willing,,,,,,
"Numbers continue to grow, 354 domestic flights operated till 5pm today: Aviation Minister",,,,2020-05-27 21:05:31+05:30,today,numbers,puri,airport,india,minister,till,passengers,departures,aviation,operated,continue,day,airports,domestic,flights,25,grow,,
"Numbers continue to grow, 354 domestic flights operated till 5pm today: Aviation Minister",,,,2020-05-27 21:05:31+05:30,today,numbers,puri,airport,india,minister,till,passengers,departures,aviation,operated,continue,day,airports,domestic,flights,25,grow,,
Border tensions: Imran Khan accuses India of ‘threatening its neighbours’,,,,2020-05-27 16:59:41+05:30,neighbours,ladakh,nepal,indian,threatening,china,accuses,tensions,border,khan,imran,chinese,india,,,,,,,
Border tensions: Imran Khan accuses India of ‘threatening its neighbours’,,,,2020-05-27 16:59:41+05:30,neighbours,ladakh,nepal,indian,threatening,china,accuses,tensions,border,khan,imran,chinese,india,,,,,,,
"Amid tensions at LAC, China says situation at India border ‘stable and controllable’",,,,2020-05-27 15:47:50+05:30,ladakh,controllable,indian,troops,china,latest,tensions,border,situation,pangong,chinese,amid,stable,india,tso,lac,,,,
"Amid tensions at LAC, China says situation at India border ‘stable and controllable’",,,,2020-05-27 15:47:50+05:30,ladakh,controllable,indian,troops,china,latest,tensions,border,situation,pangong,chinese,amid,stable,india,tso,lac,,,,
"Jayalalithaa’s niece, nephew to inherit assets worth over Rs 900 crore",Janardhan Koushik,,,2020-05-27 16:06:39+05:30,jayalalithaas,nadu,residence,minister,late,rs,crore,worth,chief,memorial,j,niece,nephew,inherit,900,tamil,court,assets,,
"Jayalalithaa’s niece, nephew to inherit assets worth over Rs 900 crore",Janardhan Koushik,,,2020-05-27 16:06:39+05:30,jayalalithaas,nadu,residence,minister,late,rs,crore,worth,chief,memorial,j,niece,nephew,inherit,900,tamil,court,assets,,
"Centre, states doing their best; open to suggestions: Ravi Shankar Prasad",Liz Mathew,,,2020-05-27 20:35:54+05:30,prasad,open,state,minister,union,country,shankar,suggestions,centre,best,court,governments,states,india,doing,ravi,,,,
"Centre, states doing their best; open to suggestions: Ravi Shankar Prasad",Liz Mathew,,,2020-05-27 20:35:54+05:30,prasad,open,state,minister,union,country,shankar,suggestions,centre,best,court,governments,states,india,doing,ravi,,,,
"India Coronavirus Update, 27 May: Over 1.5 lakh cases; Maharashtra sees highest Covid-19 death toll in single day",,,,2020-05-27 23:28:07+05:30,sees,maharashtra,state,highest,health,covid19,migrant,cases,express,centre,day,single,lakh,death,update,india,toll,,,
"India Coronavirus Update, 27 May: Over 1.5 lakh cases; Maharashtra sees highest Covid-19 death toll in single day",,,,2020-05-27 23:28:07+05:30,sees,maharashtra,state,highest,health,covid19,migrant,cases,express,centre,day,single,lakh,death,update,india,toll,,,
"Why can’t private hospitals awarded free land treat Covid-19 patients for free, asks SC",,,,2020-05-27 16:41:30+05:30,hospitals,awarded,stranded,court,took,land,free,patients,treat,problems,covid19,migrant,private,supreme,labourers,suo,sc,cant,parts,
"Why can’t private hospitals awarded free land treat Covid-19 patients for free, asks SC",,,,2020-05-27 16:41:30+05:30,hospitals,awarded,stranded,court,took,land,free,patients,treat,problems,covid19,migrant,private,supreme,labourers,suo,sc,cant,parts,
Bar Council of India urges Chief Justice Bobde to re-start courts from June 1,,,,2020-05-27 13:30:26+05:30,bar,mishra,council,bobde,requested,courts,bci,chief,system,urges,restart,physical,justice,india,court,,,,,
Bar Council of India urges Chief Justice Bobde to re-start courts from June 1,,,,2020-05-27 13:30:26+05:30,bar,mishra,council,bobde,requested,courts,bci,chief,system,urges,restart,physical,justice,india,court,,,,,
"Migrants issue: Randeep Surjewala moves Supreme Court, seeks permission to intervene",,,,2020-05-27 13:51:35+05:30,migrants,supreme,issue,randeep,stranded,singh,migrant,seeks,labourers,moves,express,centre,surjewala,matter,permission,court,intervene,,,
"Migrants issue: Randeep Surjewala moves Supreme Court, seeks permission to intervene",,,,2020-05-27 13:51:35+05:30,migrants,supreme,issue,randeep,stranded,singh,migrant,seeks,labourers,moves,express,centre,surjewala,matter,permission,court,intervene,,,
"IAF operationalises no.18 Squadron, equips it with LCA Tejas",,,,2020-05-27 15:41:18+05:30,iaf,clearance,equips,hal,no18,foc,aircraft,express,lca,variant,tejas,operationalises,madhavan,squadron,operational,,,,,
"IAF operationalises no.18 Squadron, equips it with LCA Tejas",,,,2020-05-27 15:41:18+05:30,iaf,clearance,equips,hal,no18,foc,aircraft,express,lca,variant,tejas,operationalises,madhavan,squadron,operational,,,,,
Maharashtra: Man offers vegetables for free to poor during lockdown,,,,2020-05-27 12:40:59+05:30,offers,vegetable,free,rs,saying,possible,man,lockdown,cart,poor,hand,maharashtra,passerby,vegetables,,,,,,
Maharashtra: Man offers vegetables for free to poor during lockdown,,,,2020-05-27 12:40:59+05:30,offers,vegetable,free,rs,saying,possible,man,lockdown,cart,poor,hand,maharashtra,passerby,vegetables,,,,,,
Uttar Pradesh: 40 held for defying lockdown on Eid,Manish Sahu,,,2020-05-27 12:11:11+05:30,pradesh,held,prayers,state,defying,40,lockdown,act,mosque,violating,arrested,later,uttar,offering,eid,,,,,
Uttar Pradesh: 40 held for defying lockdown on Eid,Manish Sahu,,,2020-05-27 12:11:11+05:30,pradesh,held,prayers,state,defying,40,lockdown,act,mosque,violating,arrested,later,uttar,offering,eid,,,,,
Uttar Pradesh: 24×7 power to up to 30% sub-stations on cards,,,,2020-05-27 11:49:24+05:30,pradesh,state,cards,indian,30,technical,loss,express,sharma,villages,uttar,15,substations,power,247,,,,,
Uttar Pradesh: 24×7 power to up to 30% sub-stations on cards,,,,2020-05-27 11:49:24+05:30,pradesh,state,cards,indian,30,technical,loss,express,sharma,villages,uttar,15,substations,power,247,,,,,
Angry farmers force rethink: Khattar govt softens paddy diversification order,Sukhbir Siwach,,,2020-05-27 11:43:50+05:30,diversification,crop,angry,indian,govt,order,force,farmers,water,tractor,scheme,softens,khattar,50,paddy,opt,rethink,,,
Angry farmers force rethink: Khattar govt softens paddy diversification order,Sukhbir Siwach,,,2020-05-27 11:43:50+05:30,diversification,crop,angry,indian,govt,order,force,farmers,water,tractor,scheme,softens,khattar,50,paddy,opt,rethink,,,
"Hungarian cyclist quarantined in Bihar for ‘over 55 days’, Tejashwi Yadav offers help",,,,2020-05-27 15:53:38+05:30,offers,yadav,55,stay,healthy,district,help,bihar,social,days,tejashwi,hospital,zicho,quarantined,video,hungarian,cyclist,,,
"Hungarian cyclist quarantined in Bihar for ‘over 55 days’, Tejashwi Yadav offers help",,,,2020-05-27 15:53:38+05:30,offers,yadav,55,stay,healthy,district,help,bihar,social,days,tejashwi,hospital,zicho,quarantined,video,hungarian,cyclist,,,
Man booked for sedition for online comment on Yogi Adityanath,,,,2020-05-27 11:21:40+05:30,booked,facebook,yogi,comment,singh,sedition,man,post,disrespecting,online,prayagraj,workers,adityanath,case,,,,,,
Man booked for sedition for online comment on Yogi Adityanath,,,,2020-05-27 11:21:40+05:30,booked,facebook,yogi,comment,singh,sedition,man,post,disrespecting,online,prayagraj,workers,adityanath,case,,,,,,
"Rahul Gandhi, Akhilesh Yadav hit out at Yogi Adityanath over migrants",,,,2020-05-27 11:01:36+05:30,migrants,hit,yadav,pradesh,yogi,indian,migrant,leader,gandhi,workers,adityanath,congress,uttar,rahul,states,akhilesh,,,,
"Rahul Gandhi, Akhilesh Yadav hit out at Yogi Adityanath over migrants",,,,2020-05-27 11:01:36+05:30,migrants,hit,yadav,pradesh,yogi,indian,migrant,leader,gandhi,workers,adityanath,congress,uttar,rahul,states,akhilesh,,,,
HRD Minister addresses colleges LIVE Updates: New quality assessment system for online education soon,,,,2020-05-28 17:16:31+05:30,india,quality,minister,ugc,pokhriyal,students,hrd,system,soon,online,colleges,teachers,live,ramesh,education,updates,,,,
"Coronavirus India LIVE Updates: Benefits of hydroxychroloquine outweighs risks, says Niti Aayog",,,,2020-05-28 17:21:52+05:30,benefits,outweighs,niti,coronavirus,cent,india,updates,bills,state,rs,patients,aayog,hydroxychroloquine,required,risks,private,live,hospital,covid,
Bollywood news on May 28: Shah Rukh Khan read AbRam his favourite book on birthday and more,Priyanka Sharma,,,2020-05-28 17:24:12+05:30,birthday,thackeray,favourite,book,shoots,youngest,khan,read,shah,rukh,film,set,months,bollywood,abram,28,son,,,
Weather Forecast Today Live Updates: Thunderstorm and rain likely in parts of UP today; Monsoon to hit Kerala by June 1,,,,2020-05-28 16:41:34+05:30,today,west,rajasthan,rain,monsoon,weather,thunderstorm,places,bengal,parts,live,kerala,western,conditions,likely,india,updates,,,
"Coronavirus India LIVE Updates: Benefits of hydroxychroloquine outweighs risks, says Niti Aayog",,,,2020-05-28 17:21:52+05:30,benefits,outweighs,niti,coronavirus,cent,india,updates,bills,state,rs,patients,aayog,hydroxychroloquine,required,risks,private,live,hospital,covid,
"Coronavirus India LIVE Updates: Benefits of hydroxychroloquine outweighs risks, says Niti Aayog",,,,2020-05-28 17:21:52+05:30,benefits,outweighs,niti,coronavirus,cent,india,updates,bills,state,rs,patients,aayog,hydroxychroloquine,required,risks,private,live,hospital,covid,
Monsoon to hit Kerala around June 1: IMD,,,,2020-05-28 15:38:31+05:30,hit,sea,monsoon,southwest,indian,express,system,kerala,imd,likely,sky,,,,,,,,,
Monsoon to hit Kerala around June 1: IMD,,,,2020-05-28 15:38:31+05:30,hit,sea,monsoon,southwest,indian,express,system,kerala,imd,likely,sky,,,,,,,,,
Suriya: Ponmagal Vandhal satisfied me as a viewer and producer,,,,2020-05-28 16:17:33+05:30,suriya,audience,satisfied,producer,vandhal,latest,actor,viewer,ponmagal,film,jyotika,amazon,prime,video,,,,,,
Suriya: Ponmagal Vandhal satisfied me as a viewer and producer,,,,2020-05-28 16:17:33+05:30,suriya,audience,satisfied,producer,vandhal,latest,actor,viewer,ponmagal,film,jyotika,amazon,prime,video,,,,,,
Watch: Unexpected turn of events after man crashes into vehicle in China,,,,2020-05-28 15:55:03+05:30,turn,events,motorcycle,widely,platforms,china,man,media,shared,road,social,online,unexpected,watch,vehicle,crashes,video,,,
Watch: Unexpected turn of events after man crashes into vehicle in China,,,,2020-05-28 15:55:03+05:30,turn,events,motorcycle,widely,platforms,china,man,media,shared,road,social,online,unexpected,watch,vehicle,crashes,video,,,
Watch: ‘Guest’ monkey chases TV presenter out of studio during interview,,,,2020-05-28 15:54:21+05:30,lobna,tv,agitated,animal,presenter,guest,studio,actor,asal,interview,chases,went,watch,egyptian,monkey,,,,,
Watch: ‘Guest’ monkey chases TV presenter out of studio during interview,,,,2020-05-28 15:54:21+05:30,lobna,tv,agitated,animal,presenter,guest,studio,actor,asal,interview,chases,went,watch,egyptian,monkey,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
"How Sathiyan Gnanasekara, Sharath Kamal changed Indian table tennis history at the 2018 Asian Games",Shashank Nair,Written Shashank Nair,,2020-05-28 14:48:47+05:30,history,games,changed,asian,medal,draw,indian,sharath,played,gnanasekara,match,kamal,sathiyan,table,game,india,tennis,,,
"How Sathiyan Gnanasekara, Sharath Kamal changed Indian table tennis history at the 2018 Asian Games",Shashank Nair,Written Shashank Nair,,2020-05-28 14:48:47+05:30,history,games,changed,asian,medal,draw,indian,sharath,played,gnanasekara,match,kamal,sathiyan,table,game,india,tennis,,,
What is the problem that monetisation is trying to solve?,Duvvuri Subbarao,,,2020-05-28 09:23:26+05:30,trying,rbi,monetisation,fiscal,solve,market,policy,finance,cent,omos,inflation,problem,deficit,,,,,,,
What is the problem that monetisation is trying to solve?,Duvvuri Subbarao,,,2020-05-28 09:23:26+05:30,trying,rbi,monetisation,fiscal,solve,market,policy,finance,cent,omos,inflation,problem,deficit,,,,,,,
Explained: Why do some Covid-19 patients lose their sense of smell?,Kabir Firaque,,,2020-05-28 14:22:14+05:30,cells,proteins,entry,epithelium,covid19,explained,sense,express,patients,sustentacular,olfactory,lose,butowt,studies,smell,virus,,,,
Explained: Why do some Covid-19 patients lose their sense of smell?,Kabir Firaque,,,2020-05-28 14:22:14+05:30,cells,proteins,entry,epithelium,covid19,explained,sense,express,patients,sustentacular,olfactory,lose,butowt,studies,smell,virus,,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Xiaomi prepares to launch Mi laptop in India just at the right time,,,,2020-05-28 13:33:08+05:30,redmibook,company,country,mi,right,launch,prepares,laptops,notebook,india,laptop,xiaomi,,,,,,,,
Xiaomi prepares to launch Mi laptop in India just at the right time,,,,2020-05-28 13:33:08+05:30,redmibook,company,country,mi,right,launch,prepares,laptops,notebook,india,laptop,xiaomi,,,,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
"How Sathiyan Gnanasekara, Sharath Kamal changed Indian table tennis history at the 2018 Asian Games",Shashank Nair,Written Shashank Nair,,2020-05-28 14:48:47+05:30,history,games,changed,asian,medal,draw,indian,sharath,played,gnanasekara,match,kamal,sathiyan,table,game,india,tennis,,,
"How Sathiyan Gnanasekara, Sharath Kamal changed Indian table tennis history at the 2018 Asian Games",Shashank Nair,Written Shashank Nair,,2020-05-28 14:48:47+05:30,history,games,changed,asian,medal,draw,indian,sharath,played,gnanasekara,match,kamal,sathiyan,table,game,india,tennis,,,
"Hemmed-in by Covid curbs, champion para archer Harvinder Singh trains at farm",Nitin Sharma,,,2020-05-28 14:48:50+05:30,farm,harvinder,singh,hemmedin,indian,district,archer,archery,para,curbs,champion,training,kaithal,village,covid,trains,,,,
"Hemmed-in by Covid curbs, champion para archer Harvinder Singh trains at farm",Nitin Sharma,,,2020-05-28 14:48:50+05:30,farm,harvinder,singh,hemmedin,indian,district,archer,archery,para,curbs,champion,training,kaithal,village,covid,trains,,,,
Xiaomi prepares to launch Mi laptop in India just at the right time,,,,2020-05-28 13:33:08+05:30,redmibook,company,country,mi,right,launch,prepares,laptops,notebook,india,laptop,xiaomi,,,,,,,,
Xiaomi prepares to launch Mi laptop in India just at the right time,,,,2020-05-28 13:33:08+05:30,redmibook,company,country,mi,right,launch,prepares,laptops,notebook,india,laptop,xiaomi,,,,,,,,
"Vivo V19 review: Finally, a promising V-series phone",Sneha Saha,,,2020-05-28 12:31:57+05:30,v19,rear,review,promising,primary,saha,express,vseries,finally,sneha,camera,vivo,phone,,,,,,,
"Vivo V19 review: Finally, a promising V-series phone",Sneha Saha,,,2020-05-28 12:31:57+05:30,v19,rear,review,promising,primary,saha,express,vseries,finally,sneha,camera,vivo,phone,,,,,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Watch: Unexpected turn of events after man crashes into vehicle in China,,,,2020-05-28 15:55:03+05:30,turn,events,motorcycle,widely,platforms,china,man,media,shared,road,social,online,unexpected,watch,vehicle,crashes,video,,,
Watch: Unexpected turn of events after man crashes into vehicle in China,,,,2020-05-28 15:55:03+05:30,turn,events,motorcycle,widely,platforms,china,man,media,shared,road,social,online,unexpected,watch,vehicle,crashes,video,,,
Watch: ‘Guest’ monkey chases TV presenter out of studio during interview,,,,2020-05-28 15:54:21+05:30,lobna,tv,agitated,animal,presenter,guest,studio,actor,asal,interview,chases,went,watch,egyptian,monkey,,,,,
Watch: ‘Guest’ monkey chases TV presenter out of studio during interview,,,,2020-05-28 15:54:21+05:30,lobna,tv,agitated,animal,presenter,guest,studio,actor,asal,interview,chases,went,watch,egyptian,monkey,,,,,
"Viral Video: Woman ‘floats’ mid-air while falling, netizens try to unravel the mystery",,,,2020-05-28 14:25:18+05:30,wrote,woman,unravel,netizens,media,shae,floats,viral,try,midair,falling,social,mystery,clip,sharing,rope,user,video,,
"Viral Video: Woman ‘floats’ mid-air while falling, netizens try to unravel the mystery",,,,2020-05-28 14:25:18+05:30,wrote,woman,unravel,netizens,media,shae,floats,viral,try,midair,falling,social,mystery,clip,sharing,rope,user,video,,
"Watch video: CNBC news anchor accuses co-host of helping Trump, on-air verbal spat goes viral",,,,2020-05-28 13:03:28+05:30,onair,sorkin,kernen,online,goes,watch,27,morning,joe,cohost,viral,100000,deaths,spat,helping,verbal,trump,thank,video,
"Watch video: CNBC news anchor accuses co-host of helping Trump, on-air verbal spat goes viral",,,,2020-05-28 13:03:28+05:30,onair,sorkin,kernen,online,goes,watch,27,morning,joe,cohost,viral,100000,deaths,spat,helping,verbal,trump,thank,video,
In TikTok’s ‘Wipe It Down’ challenge people are coming up with unique transformations,,,,2020-05-28 13:20:28+05:30,tiktoks,trending,song,self,presenting,coming,grooving,title,unique,challenge,bmw,transformations,popular,wipe,latest,,,,,
In TikTok’s ‘Wipe It Down’ challenge people are coming up with unique transformations,,,,2020-05-28 13:20:28+05:30,tiktoks,trending,song,self,presenting,coming,grooving,title,unique,challenge,bmw,transformations,popular,wipe,latest,,,,,
‘Last pillar of satire writing in Urdu literature’: Mujtaba Hussain remembered,,,,2020-05-28 17:00:56+05:30,pillar,urdu,author,mein,literature,remembered,language,writing,mujtaba,away,satire,hussain,reading,,,,,,,
‘Last pillar of satire writing in Urdu literature’: Mujtaba Hussain remembered,,,,2020-05-28 17:00:56+05:30,pillar,urdu,author,mein,literature,remembered,language,writing,mujtaba,away,satire,hussain,reading,,,,,,,
"Delhi University releases tentative schedule for UG, PG admissions",,,,2020-05-28 16:56:37+05:30,releases,schedule,ug,delhi,university,admissions,undergraduate,process,online,portal,released,pg,entrance,tentative,admission,,,,,
"Delhi University releases tentative schedule for UG, PG admissions",,,,2020-05-28 16:56:37+05:30,releases,schedule,ug,delhi,university,admissions,undergraduate,process,online,portal,released,pg,entrance,tentative,admission,,,,,
"Cricket Australia announce schedule, India series listed in it",,,,2020-05-28 16:54:11+05:30,series,australia,indian,announce,representational,cricket,summer,t20,listed,schedule,india,tour,latest,,,,,,,
"Cricket Australia announce schedule, India series listed in it",,,,2020-05-28 16:54:11+05:30,series,australia,indian,announce,representational,cricket,summer,t20,listed,schedule,india,tour,latest,,,,,,,
Vincy Premier T10 League 2020 Live Score Updates: Race for knockout spots heats up,,,,2020-05-28 17:31:05+05:30,view,t10,updates,score,knockout,grenadine,spots,team,vincy,explorers,semifinal,divers,vs,spot,points,league,premier,race,live,asif
Vincy Premier T10 League 2020 Live Score Updates: Race for knockout spots heats up,,,,2020-05-28 17:31:05+05:30,view,t10,updates,score,knockout,grenadine,spots,team,vincy,explorers,semifinal,divers,vs,spot,points,league,premier,race,live,asif
MP: Man hires 180-seater plane to ferry four family members to ‘avoid crowd’ at airport,,,,2020-05-28 16:49:23+05:30,hiring,20,hires,airport,ferry,family,rs,saidthe,experts,mp,delhi,avoid,plane,members,airbus320,man,crowd,aviation,cost,
MP: Man hires 180-seater plane to ferry four family members to ‘avoid crowd’ at airport,,,,2020-05-28 16:49:23+05:30,hiring,20,hires,airport,ferry,family,rs,saidthe,experts,mp,delhi,avoid,plane,members,airbus320,man,crowd,aviation,cost,
"Possible mutations, unusual symptoms among unsolved COVID-19 mysteries: Scientists",,,,2020-05-28 16:44:29+05:30,spike,virus,scientists,possible,covid19,test,unusual,patients,unsolved,mysteries,mutations,study,vaccine,sarscov2,dengue,protein,symptoms,,,
"Possible mutations, unusual symptoms among unsolved COVID-19 mysteries: Scientists",,,,2020-05-28 16:44:29+05:30,spike,virus,scientists,possible,covid19,test,unusual,patients,unsolved,mysteries,mutations,study,vaccine,sarscov2,dengue,protein,symptoms,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Say cheers to good old chaas or buttermilk this summer,,,,2020-05-28 16:40:54+05:30,plain,indian,say,drink,water,curd,old,good,summer,seeds,buttermilk,cumin,chaas,cheers,salt,add,,,,
Twitterati weigh in after Donald Trump visits Kennedy Space Centre without mask on,,,,2020-05-28 16:37:50+05:30,president,kennedy,donald,space,twitterati,spacex,launch,centre,masks,ivanka,mask,trump,wearing,weigh,27,visits,,,,
Twitterati weigh in after Donald Trump visits Kennedy Space Centre without mask on,,,,2020-05-28 16:37:50+05:30,president,kennedy,donald,space,twitterati,spacex,launch,centre,masks,ivanka,mask,trump,wearing,weigh,27,visits,,,,
Blue Tigers set out to help Amphan-affected West Bengal,,,,2020-05-28 16:35:42+05:30,tigers,west,blue,amphanaffected,paul,affected,kotal,source,help,bengal,subrata,pronay,set,pritam,mondal,,,,,
Blue Tigers set out to help Amphan-affected West Bengal,,,,2020-05-28 16:35:42+05:30,tigers,west,blue,amphanaffected,paul,affected,kotal,source,help,bengal,subrata,pronay,set,pritam,mondal,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
‘MS Dhoni has earned the right to leave the game on his own terms’: Gary Kirsten,,,,2020-05-28 16:49:45+05:30,leave,sport,indian,earned,right,gary,world,dhoni,terms,skipper,ms,kirsten,game,india,cup,,,,,
Statutory provisions on reporting by media of the cases involving sexual offences,,,,2018-04-24 13:13:12+05:30,identity,offence,statutory,media,cases,involving,liable,offences,subsection,provisions,victim,writing,shall,sexual,court,reporting,,,,
Statutory provisions on reporting by media of the cases involving sexual offences,,,,2018-04-24 13:13:12+05:30,identity,offence,statutory,media,cases,involving,liable,offences,subsection,provisions,victim,writing,shall,sexual,court,reporting,,,,
"Indian Express Covid-19 Tracker: India’s state-wise and global cases, deaths and recoveries",,,,2020-05-28 08:15:42+05:30,deaths,indias,india,pradesh,nadu,state,recoveries,indian,covid19,cases,statewise,coronavirus,express,number,tracker,tamil,global,,,
"Noida will now seal single towers, not entire societies",Amil Bhatnagar,,,2020-05-28 08:41:22+05:30,delhi,list,housing,entire,cases,residents,societies,single,seal,zone,noida,case,towers,zones,containment,,,,,
"In highest 24-hour spike, Delhi records 792 cases",Astha Saxena,,,2020-05-28 05:58:49+05:30,deaths,recovery,spike,delhi,national,highest,health,cases,beds,792,covid,rate,disease,24hour,records,,,,,
Supreme Court to Govt: Why can’t private hospitals provide free Covid treatment,Ananthakrishnan G,,,2020-05-28 05:43:27+05:30,supreme,hospitals,tushar,treat,free,covid19,govt,treatment,insurance,centre,provide,patients,cant,court,private,submitted,covid,,,
"Slow start for autos, many unsure of business with just 1 passenger allowed",Abhinav Rajput,,,2020-05-28 05:32:14+05:30,slow,start,delhi,allowed,driver,business,rs,indian,passenger,sah,lives,auto,autos,rent,sheet,unsure,,,,
"Rs 3-16 lakh: in Covid bills, drug cost, PPE are main unknowns",Kaunain Sheriff M,,,2020-05-28 07:12:38+05:30,bills,cost,rs,main,ppe,test,drug,316,patients,lakh,day,unknowns,icu,ranges,range,covid,,,,
Among Gurgaon RWA rules: ‘Domestic helps shouldn’t touch lift,Sakshi Dayal,,,2020-05-28 05:44:02+05:30,gardeners,rules,gurgaon,test,cbc,work,lift,residents,touch,workers,helps,shouldnt,domestic,drivers,rwa,,,,,
"An anguished lullaby, fights for seats, water: 24 hours on a Shramik Special",P Anand,Written P Anand,Hyderabad,2020-05-28 13:30:26+05:30,fights,anguished,train,dead,bus,lullaby,hours,water,seats,way,seat,24,udhna,station,special,shramik,thought,gandhinagar,,
"As buses start plying, migrants try to leave again, stopped again",Sourav Roy Barman,,,2020-05-28 05:08:31+05:30,migrants,start,delhi,bus,stopped,plying,department,try,vihar,lakh,buses,leave,transport,work,trains,,,,,
"Will give houses, shops to migrant workers, pay their GST: UP govt",Asad Rehman,,,2020-05-27 12:19:50+05:30,technicians,state,gst,states,migrant,shops,govt,returned,chief,workers,lakh,announced,pay,houses,trains,,,,,
"Will give houses, shops to migrant workers, pay their GST: UP govt",Asad Rehman,,,2020-05-27 12:19:50+05:30,technicians,state,gst,states,migrant,shops,govt,returned,chief,workers,lakh,announced,pay,houses,trains,,,,,
